Run key adviser,Id,Name,Certification,Salary,Force,Specialty
0,189450147,Lauren Reeves,geology ,3162,Air,Lebanon
1,797067052,Kay Gonzalez,Astronomy,5218,Armored,Gaza
2,178416193,Maria Simmons,Physics,15802,Infantry,Gaza
3,817746961,Rose Walcott,geology ,14093,Air,Firearms
4,999212421,Jeremiah Shelvey,Zoology,18772,Armored,Animal training
5,697696662,Terry Archuleta,Biochemistry,18416,Intelligence,Animal training
6,774216822,Elizabeth James,Botany,21177,Intelligence,Firearms
7,471048808,James Ross,Chemistry,16452,Armored,Gaza
8,768938232,Tracee Hernandez,Botany,23319,Intelligence,Lebanon
9,439825419,Emily Salmi,geology ,23752,Armored,Explosives
10,24469976,Louise Valentine,Automotive Enginee,29264,Navy,Firearms
11,711608850,Mary Kingsley,Astronomy,27775,Intelligence,Firearms
12,208133099,Deborah Banks,Botany,12093,Intelligence,Lebanon
13,921125200,Mary Bishop,Astronomy,14794,Air,Lebanon
14,510872560,Mary Cramer,Computer Engineer,21692,Infantry,Firearms
15,22106253,Paula Ulrich,Chemical Engineer,27745,Armored,Syria
16,357113288,Michael Lazar,Physics,22537,Infantry,Health-care
17,6955142,Oliver Alexander,Computer Engineer,3881,Intelligence,Health-care
18,749225747,John Duarte,Physics,13646,Navy,Gaza
19,235094164,Clara Blankenship,Botany,16090,Infantry,Explosives
20,245811613,Aldo Stanley,Astronomy,21282,Intelligence,Firearms
21,664094510,Todd Mccall,Botany,29834,Intelligence,Gaza
22,741285617,Richard Corrigan,Automotive Enginee,25157,Armored,Firearms
23,908771356,Mike Rosenblatt,Botany,24395,Armored,Lebanon
24,666882261,Louise Sanchez,Biochemistry,9989,Armored,Enemy-psychology
25,202735280,Curtis Weber,Zoology,10450,Infantry,Enemy-psychology
26,162074961,June Harris,Physics,28414,Infantry,Syria
27,229844048,Darcy Duncan,Automotive Enginee,23942,Infantry,Health-care
28,519702531,Howard Deloatch,Chemical Engineer,20845,Air,Explosives
29,568457910,Edward Simms,Computer Engineer,14732,Armored,Syria
30,53397502,Charles Hargraves,Chemistry,6152,Armored,Lebanon
31,12929626,Florence Buggs,Chemistry,7456,Air,Explosives
32,749903342,Annie Biscoe,Biochemistry,4235,Infantry,Health-care
33,423419150,Criselda Kabrick,Physics,25434,Navy,Finance
34,650875181,Donny Hughes,Botany,8997,Armored,Lebanon
35,519177003,Erik Mccullough,Physics,13285,Armored,Firearms
36,711145833,Sandra Delacruz,Chemical Engineer,24254,Navy,Explosives
37,998021418,Miles Petersen,Zoology,21890,Infantry,Lebanon
38,30383130,Sam Hensley,Automotive Enginee,3370,Navy,Egypt
39,909701757,Kenia Sweet,Astronomy,8224,Navy,Syria
40,153919238,Nedra Morgan,geology ,11337,Navy,Finance
41,650757349,David Garcia,Chemistry,14363,Air,Animal training
42,525192887,Donnie Benson,Microbiology,11596,Navy,Syria
43,51390042,Jacquelyn Batiste,Zoology,24925,Infantry,Enemy-psychology
44,786617792,Richard Gonzalez,Physics,26512,Armored,Finance
45,55361003,Adrian Watkins,Biochemistry,9837,Armored,Health-care
46,512924064,Annette Rothermich,Computer Engineer,6683,Intelligence,Syria
47,995904452,James Seabrooke,Botany,25619,Intelligence,Egypt
48,693639440,Jane Jones,Botany,8236,Navy,Egypt
49,100998164,Tony Landon,Physics,20779,Navy,Enemy-psychology
50,422248527,Samuel Shambo,Chemical Engineer,11605,Intelligence,Health-care
51,743622733,Sylvia Shaffer,Automotive Enginee,5593,Armored,Syria
52,182179460,Larry Martinez,Zoology,11085,Air,Animal training
53,857549386,Victor Wright,Zoology,16483,Air,Gaza
54,179377316,Jesse Halley,Astronomy,20315,Intelligence,Gaza
55,935991682,Joshua Brice,geology ,22162,Intelligence,Animal training
56,981729227,Dwayne Messenger,Biochemistry,4497,Armored,Health-care
57,518433416,Joseph Hudson,Physics,5455,Intelligence,Explosives
58,161324469,Sara Herbert,Automotive Enginee,27735,Armored,Gaza
59,945425744,Andrew Kirk,Zoology,8506,Intelligence,Gaza
60,339587330,Epifania White,Chemistry,14486,Armored,Gaza
61,420746318,James Grove,Computer Engineer,13747,Armored,Egypt
62,205531655,Robert Oberst,Zoology,16704,Navy,Lebanon
63,77330681,Paul Peterson,Computer Engineer,19398,Navy,Finance
64,69097819,Jim Dion,Astronomy,11160,Infantry,Finance
65,714894734,William Sanchez,Automotive Enginee,21098,Infantry,Animal training
66,778226024,Joseph Campbell,Automotive Enginee,4610,Intelligence,Firearms
67,236106261,Troy Staats,geology ,23390,Navy,Firearms
68,529477529,Andre Williams,geology ,24731,Intelligence,Gaza
69,738821958,Billy Andrews,Automotive Enginee,17203,Navy,Gaza
70,410513722,Karen Boyles,Zoology,15900,Armored,Gaza
71,298569537,Robert Sandvik,Chemistry,10477,Armored,Lebanon
72,917536718,Shirley Ruiz,Zoology,10214,Infantry,Explosives
73,889692049,Margaret Elmore,Botany,6741,Infantry,Firearms
74,710954855,Kurt Underwood,Zoology,4869,Intelligence,Health-care
75,397713116,Kenton Boyles,Astronomy,9242,Air,Animal training
76,563092840,Alene Hall,Automotive Enginee,16285,Air,Egypt
77,996277658,Glen Pedigo,Automotive Enginee,21426,Navy,Animal training
78,373292608,Sandra Schuld,Computer Engineer,17887,Armored,Gaza
79,496646125,George Price,Zoology,19703,Navy,Explosives
80,589099162,Shannon Hof,Computer Engineer,19482,Navy,Syria
81,460114276,Kristin Hartley,Computer Engineer,3047,Air,Syria
82,194621263,Josephine White,Chemical Engineer,24435,Intelligence,Gaza
83,425858428,Alfredo Selph,geology ,20364,Infantry,Health-care
