Run key reserves,Run key soldiers,Salary per day,Reserve contact,Days served,Last recruited Date,Reserve training
0,0,453,0506023365,793,2016-03-16,sniper
1,6,553,0504329309,332,2018-05-31,commander
2,12,460,0505298877,603,2012-01-11,medic
3,18,305,0507637811,28,2016-10-19,commander
4,24,260,0503390361,753,2017-10-09,medic
5,30,674,0506843936,951,2012-07-27,sniper
6,36,365,0505010654,939,2018-11-12,grandes
7,42,574,0507791082,493,2015-04-04,grandes
8,48,634,0505855357,656,2014-07-24,grandes
9,54,482,0506361833,239,2016-08-09,heavy machine-gun
10,60,213,0508714659,303,2015-10-14,grandes
11,66,595,0501901102,65,2015-10-05,commander
12,72,637,0508752428,544,2015-09-30,grandes
13,78,572,0507226461,420,2015-06-14,scout
14,84,435,0506496451,731,2015-06-29,heavy machine-gun
15,90,733,0504257588,467,2015-03-20,scout
16,96,522,0504901360,730,2016-01-08,scout
17,102,358,0502565592,280,2017-08-16,explosives
18,108,336,0509039261,245,2018-05-04,anti-air
19,114,224,0509875122,742,2016-09-08,explosives
20,120,412,0505225571,913,2018-09-22,communication
21,126,300,0503414222,686,2013-07-28,communication
22,132,418,0502756391,140,2016-04-15,communication
23,138,524,0501763729,331,2016-03-16,scout
24,144,522,0506874181,334,2016-02-08,scout
25,150,407,0508406085,694,2013-11-26,explosives
26,156,664,0501878995,374,2017-07-25,explosives
27,162,266,0507146166,266,2016-10-05,anti-air
28,168,773,0507534422,420,2012-08-24,scout
29,174,625,0509673784,228,2013-04-29,sniper
30,180,519,0509257165,721,2013-11-27,grandes
31,186,224,0509093492,846,2018-02-22,driver
32,192,410,0507505864,421,2016-07-07,explosives
33,198,432,0504123930,483,2015-12-16,heavy machine-gun
34,204,635,0505540046,600,2018-03-14,anti-air
35,210,262,0509573131,200,2013-10-23,medic
36,216,301,0508726146,590,2013-02-12,driver
37,222,397,0509007807,802,2011-12-19,sniper
38,228,498,0505103677,772,2016-02-29,heavy machine-gun
39,234,552,0503533092,895,2018-06-12,anti-air
40,240,365,0504674547,213,2015-03-28,sniper
41,246,260,0508287505,137,2018-10-19,communication
42,252,364,0507377921,764,2018-11-13,communication
43,258,204,0506567379,326,2012-09-14,communication
44,264,501,0502513687,451,2018-12-26,commander
45,270,545,0509591514,559,2012-06-08,commander
46,276,590,0508635758,264,2018-08-26,grandes
47,282,348,0504267542,190,2018-05-02,heavy machine-gun
