Run key soldier,Id,Name,Rank,Salary,Run key Weapon,Regular Or permanent,Recruitment date,Release date
0,208421632,Robert Kranawetter,Samal,9600,12646,permanent,1997-08-20,2000-05-16
1,91989799,Alice Wendt,Rav samal rishon,1795,3162,permanent,2009-03-29,2011-12-24
2,220781045,Curtis Brown,Rav samal,6785,6889,permanent,2004-02-22,2006-11-18
3,206179309,Jan Grimm,Rav turai,2864,13878,permanent,2002-04-22,2005-01-16
4,272324305,Michael Gwynn,Rav samal rishon,6750,4033,permanent,2010-08-01,2013-04-27
5,160143086,Wendell Sims,Aluf,7009,18537,Regular,1995-03-23,1997-12-17
6,96506580,Raul Leach,Rav turai,3350,17216,permanent,1990-02-10,1992-11-06
7,128072836,Charles Ruiz,Samal,8450,15355,permanent,1999-04-30,2002-01-24
8,158923494,Robert Smith,Rav turai,8374,9728,Regular,2012-11-30,2015-08-27
9,242381216,Patricia Dew,Samal,2343,2970,permanent,2010-10-04,2013-06-30
10,119794031,Minerva Hansen,Sgan aluf,3596,19134,Regular,1998-02-13,2000-11-09
11,61258769,William Crow,Rav samal,4518,14350,permanent,2002-02-04,2004-10-31
12,162685321,Cesar Parish,Rav turai,7542,2456,permanent,2015-08-31,2018-05-27
13,206116227,Robert Martin,Seren,1898,18140,Regular,1999-02-20,2001-11-16
14,121748680,Lisa Huot,Seren,3372,18392,permanent,2011-12-19,2014-09-14
15,160637775,Lacey Allen,Rav samal,6637,11262,permanent,2005-04-13,2008-01-08
16,129491243,Linda Hopton,Turai,7326,17294,permanent,2016-11-21,2019-08-18
17,92734991,Ronald Brow,Aluf,7858,15829,permanent,1999-04-20,2002-01-14
18,17974268,Jennie Towne,Samal,5251,5787,permanent,2011-10-09,2014-07-05
19,122087244,Laura Tunson,Turai,5724,18277,permanent,1990-08-13,1993-05-09
20,75629635,Teresa Butler,Rav samal rishon,7808,14054,permanent,2010-02-17,2012-11-13
21,81664187,Joseph Williams,Samal,8447,2585,permanent,2007-07-06,2010-04-01
22,202440900,Melissa Stewart,Rav samal rishon,2979,4929,permanent,2005-03-07,2007-12-02
23,248866954,Jay Solomon,Rav samal rishon,9094,7991,Regular,2001-08-16,2004-05-12
24,191466631,Jeffrey Dukes,Turai,6457,12289,Regular,2009-12-12,2012-09-07
25,232086293,David Case,Rav samal rishon,3909,12556,permanent,2007-03-01,2009-11-25
26,242185110,Terri Kinstler,Samal,7160,14601,permanent,1994-06-20,1997-03-16
27,83651656,Tyrone Gutierrez,Seren,7092,14065,permanent,2009-09-26,2012-06-22
28,156256265,Leona Cole,Samal,8738,11101,Regular,1994-10-19,1997-07-15
29,158853866,Daniel Jackson,Rav samal,7850,9484,permanent,1996-03-11,1998-12-06
30,39063510,Arletta Scott,Seren,1583,11228,Regular,1994-12-10,1997-09-05
31,24428720,Elizabeth Williams,Tat aluf,8105,8481,permanent,1991-04-05,1993-12-30
32,296068987,John Elletson,Rav samal,3536,12134,permanent,2007-04-13,2010-01-07
33,285926666,Timothy Moss,Aluf,7713,3165,permanent,2001-07-26,2004-04-21
34,28970156,Danny Juliana,Rav samal rishon,8219,15922,Regular,2006-02-06,2008-11-02
35,23449831,Gene Hairston,Turai,9113,10984,permanent,2010-05-07,2013-01-31
36,199306406,Philip Luu,Turai,2593,17227,permanent,1999-07-18,2002-04-13
37,50391596,Thomas Denman,Turai,3862,19585,Regular,2002-09-17,2005-06-13
38,210084872,Tarah Quinn,Seren,2235,19347,Regular,2004-01-11,2006-10-07
39,92680157,Marion Lester,Turai,6782,19188,Regular,2006-11-30,2009-08-26
40,243107474,Dana Schoemaker,Samal,7620,6541,permanent,2008-06-20,2011-03-17
41,262957184,Regina Gallagher,Turai,4077,15052,permanent,2000-04-16,2003-01-11
42,91517228,Janet Laramee,Samal,9508,19406,permanent,1995-09-20,1998-06-16
43,236751131,Hope Bisson,Aluf mishne,8101,12550,Regular,2000-06-12,2003-03-09
44,260354868,Robert Dinkins,Turai,5080,14593,Regular,2008-07-16,2011-04-12
45,76392399,Jackie Houston,Rav turai,4005,18232,permanent,2015-01-12,2017-10-08
46,107870021,Trevor Johnson,Aluf,8943,19095,permanent,2015-11-25,2018-08-21
47,276105171,John Thomas,Seren,6782,11085,permanent,2005-09-26,2008-06-22
48,149579558,James Rochelle,Rav samal,8131,13944,permanent,1995-07-19,1998-04-14
49,110306554,Dolores Stewart,Samal,7588,16935,Regular,1999-09-25,2002-06-21
50,117800132,Jessica Estrada,Samal,1501,17448,Regular,1997-11-08,2000-08-04
51,250483922,Larry Pagan,Rav samal rishon,2117,15704,permanent,2003-07-29,2006-04-24
52,114415705,Larry Beck,Rav samal rishon,5660,9485,Regular,2007-09-13,2010-06-09
53,133382767,Shani Steele,Aluf mishne,6624,13328,permanent,2012-01-28,2014-10-24
54,238080316,Donna Keith,Seren,9516,2588,Regular,2016-12-05,2019-09-01
55,141888884,Marlon Clement,Seren,6298,14929,Regular,1994-12-24,1997-09-19
56,135156305,Mildred Sorrells,Rav samal,3459,15383,Regular,1995-01-13,1997-10-09
57,82911427,Francisco Vanek,Rav turai,9085,10553,Regular,2005-02-09,2007-11-06
58,194281153,Edward Roiger,Turai,3900,12924,Regular,2009-12-12,2012-09-07
59,249057118,John Garcia,Seren,1829,44,Regular,2011-10-03,2014-06-29
60,159252596,Judith Blair,Seren,2966,19773,permanent,2010-02-03,2012-10-30
61,59665378,Larry Tillotson,Samal,5714,14050,permanent,2011-10-22,2014-07-18
62,270426006,Ricardo Drabant,Seren,4748,18267,permanent,2013-03-16,2015-12-11
63,138742616,Jason Mckinney,Seren,2288,12549,Regular,2018-05-26,2021-02-19
64,107484756,Eric Sansoucy,Rav samal,7453,11314,Regular,2007-12-01,2010-08-27
65,8272052,David Nilsson,Seren,1527,4948,permanent,2015-06-22,2018-03-18
66,240646610,Cruz Skelton,Samal,4746,6169,Regular,2018-01-28,2020-10-24
67,248925596,Laura Sexton,Seren,8395,9000,permanent,2017-12-31,2020-09-26
68,95267757,Geoffrey Marvin,Turai,5066,545,permanent,1993-08-06,1996-05-02
69,275425678,Enid Hallman,Samal,4815,4865,permanent,2001-02-25,2003-11-22
70,175578138,Lynn Seymour,Sgan aluf,9622,4014,permanent,2013-08-26,2016-05-22
71,254340488,George Miller,Seren,8555,5922,Regular,2002-12-23,2005-09-18
72,181440074,Mary Robinson,Rav samal,9016,18737,permanent,2003-07-25,2006-04-20
73,168556824,Joyce Latouche,Turai,6254,18206,Regular,2006-01-25,2008-10-21
74,101872244,Norma Trujillo,Turai,5900,17018,permanent,2015-08-27,2018-05-23
75,203046986,Yolanda Connor,Rav samal rishon,9403,10435,permanent,1999-01-20,2001-10-16
76,173910441,Thomas Spruill,Rav turai,1910,5928,permanent,2007-07-03,2010-03-29
77,44728564,Cornelius Delgado,Samal,7743,14435,Regular,2015-04-06,2017-12-31
78,94053970,Nicole Madrigal,Rav turai,9732,12561,permanent,2006-05-24,2009-02-17
79,197413550,Larry Collins,Rav samal rishon,3464,13487,permanent,2003-02-15,2005-11-11
80,1511557,Michelle Vanduzer,Samal,8668,75,Regular,2012-10-23,2015-07-20
81,56505030,Kimberly Morey,Samal,1711,2823,Regular,2009-11-11,2012-08-07
82,239675809,Patricia Wright,Rav seren,8128,15873,Regular,1992-03-01,1994-11-26
83,282404857,William Oconnor,Rav turai,6370,2158,Regular,2002-09-26,2005-06-22
84,175586168,Adam Davis,Rav samal,6248,3400,Regular,2009-04-05,2011-12-31
85,245901228,Deirdre Holden,Turai,6032,16937,Regular,1996-02-28,1998-11-24
86,111503515,Jeffrey Shea,Turai,1527,14616,Regular,1999-06-12,2002-03-08
87,7106707,Marvin Sanchez,Sgan aluf,3198,11830,Regular,1993-03-28,1995-12-23
88,49600544,Frances Goodin,Samal,8984,16812,permanent,2003-07-05,2006-03-31
89,271565074,Sylvia Cruz,Aluf,4251,7143,permanent,2003-03-07,2005-12-01
90,89098126,Joshua Carter,Sgan aluf,2282,17798,permanent,2010-06-21,2013-03-17
91,151583875,Josh Batchelor,Seren,1812,8517,permanent,1991-08-29,1994-05-25
92,258391624,Lila Pittman,Rav seren,4566,2030,Regular,2005-04-15,2008-01-10
93,239883662,James Donahue,Seren,1545,6483,permanent,1992-11-08,1995-08-05
94,270329278,Christopher Gregg,Rav seren,7817,18153,Regular,2018-03-07,2020-12-01
95,196425420,Denise Cusimano,Rav turai,9368,10737,permanent,2000-04-30,2003-01-25
96,114423010,Jenny Winstead,Turai,9120,16842,permanent,1993-08-30,1996-05-26
97,126626847,Gretchen Cavazos,Samal,1998,17463,permanent,2008-02-08,2010-11-04
98,255751128,Alberta Hem,Rav samal rishon,8427,16414,permanent,2009-01-08,2011-10-05
99,87917128,Joe Conroy,Samal,6601,14249,permanent,1999-05-09,2002-02-02
100,48342119,Selina Martinez,Samal,5739,3252,Regular,1992-03-15,1994-12-10
101,163685372,James Ferguson,Rav seren,8302,12747,permanent,1991-06-08,1994-03-04
102,234019716,Franklin Argenbright,Rav samal,6786,13691,permanent,1998-06-13,2001-03-09
103,294021503,Kathy Richardson,Rav turai,3175,9907,permanent,2003-10-14,2006-07-10
104,294806532,Ruth Herron,Rav samal rishon,8692,10287,permanent,2007-10-22,2010-07-18
105,233021845,Thomas Dabbs,Samal,4309,15227,permanent,2015-05-18,2018-02-11
106,114696277,Christopher Pearman,Rav turai,2469,16125,Regular,2017-06-22,2020-03-18
107,40906466,Sam Marr,Turai,5572,6354,permanent,2006-03-30,2008-12-24
108,159991773,Lamar Haas,Tat aluf,3847,13234,Regular,2018-11-09,2021-08-05
109,293929395,Doreen Imes,Rav samal rishon,6182,5084,permanent,2000-08-01,2003-04-28
110,117047708,Scott Wimbush,Turai,6784,13628,permanent,2000-11-08,2003-08-05
111,281115653,Janet Michels,Rav samal rishon,6212,1017,permanent,2009-10-15,2012-07-11
112,49282832,Mary Hiatt,Rav samal,7019,12023,permanent,2000-03-27,2002-12-22
113,197044454,Joshua Campanile,Samal,3118,11715,Regular,1996-06-09,1999-03-06
114,264986408,Allen Martinez,Rav turai,7489,4609,permanent,2009-03-12,2011-12-07
115,107687131,Billie Wright,Turai,4578,17447,Regular,1999-03-11,2001-12-05
116,266293313,Kayleigh Pettey,Seren,3259,8408,Regular,2008-12-17,2011-09-13
117,40929991,Michele Rimmer,Turai,7007,1702,Regular,2002-03-24,2004-12-18
118,247060737,Mark Brown,Samal,8098,17941,Regular,2001-06-24,2004-03-20
119,214051712,Linwood Isom,Sgan aluf,9750,2135,permanent,2011-08-08,2014-05-04
120,45871499,Clifton Salerno,Rav samal rishon,2170,14562,Regular,2003-07-17,2006-04-12
121,103861277,Sandy Stroup,Seren,8162,11720,permanent,2018-09-30,2021-06-26
122,205927722,Cameron Gaucin,Rav samal,4070,8058,Regular,2010-03-29,2012-12-23
123,55813193,Alfred Busby,Aluf mishne,8253,7395,Regular,2001-11-08,2004-08-04
124,61024097,Michel Barber,Rav samal rishon,9475,632,Regular,2004-09-21,2007-06-18
125,103888481,Luis Mesa,Rav turai,9337,6529,permanent,1990-01-26,1992-10-22
126,7539409,Linda Russell,Rav samal,4778,18732,permanent,1998-06-06,2001-03-02
127,138234813,Ronald Hinkle,Samal,9279,7003,Regular,2001-03-29,2003-12-24
128,263720464,Thomas Ybarra,Rav turai,3499,18901,Regular,2005-04-18,2008-01-13
129,81900352,Amber Medley,Samal,6200,2532,Regular,2015-07-01,2018-03-27
130,187121195,Charles Ernesto,Samal,6628,9097,permanent,2009-01-14,2011-10-11
131,252051593,Monique Sheley,Seren,5110,6460,permanent,2010-10-05,2013-07-01
132,114796056,Brad Walters,Rav samal,1678,5336,permanent,2000-09-29,2003-06-26
133,78051128,Michelle Bonilla,Rav samal,1832,6415,Regular,2005-08-14,2008-05-10
134,288743479,Harry Garcia,Rav samal,2912,16555,Regular,2004-01-18,2006-10-14
135,40211249,Katlyn Goolsby,Samal,8821,6463,Regular,1997-08-11,2000-05-07
136,51828489,Walter Cullison,Rav seren,2618,16201,permanent,2006-09-04,2009-05-31
137,90285814,Phyllis Hernandez,Rav turai,5047,19881,permanent,2015-09-19,2018-06-15
138,274920241,Phillip Morgan,Seren,3671,10154,permanent,2010-08-28,2013-05-24
139,1387893,Tania Hage,Turai,2919,805,permanent,1990-11-13,1993-08-09
140,46578619,Lonnie Wallace,Seren,4321,14918,Regular,2018-09-28,2021-06-24
141,158092235,Maria Carmichael,Rav turai,8097,121,permanent,2001-09-19,2004-06-15
142,125946386,Amelia Blackmer,Tat aluf,5593,376,Regular,2006-04-01,2008-12-26
143,103048388,Gene Williams,Samal,4302,13399,Regular,2001-08-11,2004-05-07
144,285937321,Pok Thornton,Samal,5625,19206,Regular,1993-05-13,1996-02-07
145,122036332,Maria Chow,Rav turai,9285,10942,Regular,2017-09-07,2020-06-03
146,68748560,Diane Butler,Rav turai,8850,19613,permanent,2008-07-10,2011-04-06
147,199754428,Jeanette Tavares,Sgan aluf,2188,12161,Regular,1992-05-02,1995-01-27
148,187642344,Michael Alston,Sgan aluf,8634,20,permanent,2002-09-02,2005-05-29
149,70339675,Sherry Hall,Aluf,3880,4475,Regular,2008-02-14,2010-11-10
150,145789519,Isabel Cho,Seren,5471,17943,permanent,1995-07-11,1998-04-06
151,144249444,Phillip Dearborn,Rav samal rishon,8972,4487,permanent,2014-01-29,2016-10-25
152,161209962,James Mitchell,Turai,6973,17391,Regular,2017-09-24,2020-06-20
153,197434519,Glenda Campos,Turai,1952,6856,Regular,1992-07-26,1995-04-22
154,238799389,Karen Tutas,Aluf mishne,9579,1535,permanent,1990-12-11,1993-09-06
155,73506293,Helen Stolz,Rav samal,4298,16331,Regular,1994-05-13,1997-02-06
156,22280441,Harold Haven,Turai,4452,17592,Regular,2008-12-28,2011-09-24
157,185000557,Johnny Rodriguez,Rav turai,8990,1212,Regular,1990-11-25,1993-08-21
158,23480046,Dewayne Ruffin,Seren,4083,11247,permanent,2018-05-05,2021-01-29
159,224560527,William Lawson,Samal,7023,18599,permanent,1999-07-12,2002-04-07
160,233973677,Betty Cusack,Rav turai,8550,8545,permanent,1995-12-03,1998-08-29
161,40733666,Marcus Cotton,Seren,6828,8100,permanent,2008-07-25,2011-04-21
162,259990220,Jennifer Figley,Samal,4967,15815,permanent,1994-11-26,1997-08-22
163,91100382,Andrea Foreman,Rav samal rishon,1987,1061,Regular,2003-07-05,2006-03-31
164,109343369,Pamala Colon,Rav samal rishon,9654,19740,Regular,2009-10-29,2012-07-25
165,166914098,Susie Forster,Turai,8762,15554,permanent,1996-09-05,1999-06-02
166,233508519,Ashley Cherenfant,Tat aluf,5985,7640,permanent,1996-10-31,1999-07-28
167,166105382,David Felton,Rav turai,6779,996,permanent,1997-06-02,2000-02-27
168,245476801,Johnette Androlewicz,Turai,7943,9252,permanent,2000-06-02,2003-02-27
169,75511325,Nina Chavez,Rav turai,2537,19900,Regular,1990-08-17,1993-05-13
170,290860947,Lisa Williams,Rav turai,8068,17536,Regular,1995-06-08,1998-03-04
171,115675027,Ramon Adams,Turai,4347,15964,Regular,2003-11-22,2006-08-18
172,4369473,Don Lanius,Turai,9556,15195,Regular,2010-04-21,2013-01-15
173,249279064,Pedro Carey,Seren,6418,2743,permanent,2015-03-23,2017-12-17
174,68873828,Charles Williams,Rav turai,5096,14089,permanent,1996-12-16,1999-09-12
175,222280824,Jenelle Sparks,Samal,1745,1214,permanent,1992-07-31,1995-04-27
176,116986117,Brenda Martinez,Samal,4344,7535,Regular,2018-06-25,2021-03-21
177,122203827,Karen Kerrigan,Samal,6366,19931,Regular,2008-11-10,2011-08-07
178,53019399,Alan Ehrhardt,Seren,6159,6588,Regular,2009-05-01,2012-01-26
179,27723130,Jessica Howton,Rav turai,1612,4810,Regular,1993-10-02,1996-06-28
180,284305916,Mary Rodriguez,Turai,2969,16466,permanent,2003-09-06,2006-06-02
181,171442327,Tanya Thacker,Turai,1772,9974,permanent,2004-07-24,2007-04-20
182,78478162,Kenneth Lizotte,Sgan aluf,2634,437,permanent,1993-12-07,1996-09-02
183,262272576,Ivelisse Micks,Rav samal rishon,6123,6507,Regular,2015-12-30,2018-09-25
184,110932620,Gregory Mattingly,Rav turai,3198,7790,permanent,2007-12-26,2010-09-21
185,58959518,Gloria Thompson,Rav turai,8200,14584,permanent,2014-12-06,2017-09-01
186,273114929,Carol Taylor,Rav samal rishon,4737,6759,permanent,2017-06-15,2020-03-11
187,26317812,Edwin Smith,Aluf,7673,4599,permanent,2009-06-26,2012-03-22
188,253238548,Dolores Kellems,Turai,4782,3583,Regular,1996-09-07,1999-06-04
189,226612546,Eugenio Johnson,Turai,1826,624,Regular,2016-11-26,2019-08-23
190,73330497,Anthony Garrett,Rav turai,8166,11834,Regular,2017-04-30,2020-01-25
191,293209796,Heather Darnell,Samal,1540,605,Regular,1991-07-17,1994-04-12
192,43714973,Dale Pak,Seren,9770,14759,permanent,2005-11-13,2008-08-09
193,134382245,Cecilia Kelly,Rav turai,4127,19347,permanent,2009-08-26,2012-05-22
194,152231683,Paula Lewis,Rav samal,2320,13718,Regular,1996-04-04,1998-12-30
195,273826433,Linda Rosas,Aluf,3750,13258,permanent,2016-01-08,2018-10-04
196,135069922,Frank Martin,Seren,4334,18085,Regular,1994-06-09,1997-03-05
197,201841212,Patricia Ogburn,Turai,8923,5351,Regular,2004-03-13,2006-12-08
198,260163423,Linda Ellison,Tat aluf,9994,8191,Regular,2000-02-26,2002-11-22
199,239115258,Matthew Luu,Sgan aluf,8288,5086,permanent,2011-12-18,2014-09-13
200,12127030,Ruth Castle,Samal,6914,587,permanent,2000-07-17,2003-04-13
201,263062478,Deborah Nuzback,Rav samal,8772,12464,Regular,1999-10-27,2002-07-23
202,232965943,Joseph Reiff,Seren,4267,8857,Regular,1993-06-30,1996-03-26
203,71890152,Jose Brown,Sgan aluf,8552,5295,permanent,1990-09-10,1993-06-06
204,158951632,Cynthia Johnson,Samal,6562,15536,permanent,2014-08-25,2017-05-21
205,294708240,Thomas Margolis,Seren,4028,2060,permanent,2014-12-08,2017-09-03
206,9662153,Anthony Farrell,Rav samal rishon,2649,1445,permanent,1991-12-26,1994-09-21
207,31288626,Kevin Clark,Rav samal,3181,17103,Regular,1998-01-15,2000-10-11
208,134196707,John Ferguson,Tat aluf,2111,12444,permanent,1992-08-04,1995-05-01
209,276900036,Dorothy Velazquez,Rav seren,6347,16716,Regular,1990-03-18,1992-12-12
210,220508008,Mary Wolff,Rav samal rishon,8733,4392,permanent,2010-08-11,2013-05-07
211,188317092,Robert Castellanos,Aluf mishne,9856,7652,permanent,2005-03-31,2007-12-26
212,112422475,Angel Murphy,Tat aluf,5687,17775,Regular,2010-11-23,2013-08-19
213,60978880,Viola Alvarez,Rav samal rishon,4032,13375,permanent,2012-06-07,2015-03-04
214,87570925,Marcus Archer,Rav samal,5863,6246,Regular,1999-11-26,2002-08-22
215,58207639,Frankie Baldwin,Turai,6656,4034,permanent,1996-04-19,1999-01-14
216,186873795,Polly Kerr,Samal,5449,11996,Regular,2002-05-11,2005-02-04
217,203214023,Kevin Shank,Turai,6933,6986,permanent,2009-03-30,2011-12-25
218,47811324,Howard Capone,Rav samal,2191,13400,Regular,2011-02-15,2013-11-11
219,43694801,Jerry Mendoza,Rav samal,3731,15035,Regular,1994-07-16,1997-04-11
220,282681429,Robert Rossin,Rav turai,6760,8509,permanent,2008-03-09,2010-12-04
221,57226123,Terry Collier,Rav turai,7497,8562,Regular,2005-09-27,2008-06-23
222,30708628,John Underdown,Rav turai,6631,2245,permanent,2007-12-31,2010-09-26
223,219128629,Tom Castillo,Seren,7985,968,Regular,2016-04-13,2019-01-08
224,279779939,Shanice Hawkins,Rav turai,4613,6156,permanent,2007-09-07,2010-06-03
225,93148081,Naomi Cotto,Samal,2544,1638,permanent,2009-03-03,2011-11-28
226,104814607,Anita Bates,Aluf mishne,3165,1868,Regular,1990-02-13,1992-11-09
227,280747507,Jeffery West,Rav turai,3917,4859,permanent,2007-10-13,2010-07-09
228,117597476,Lena Renz,Rav samal,5145,7867,permanent,2018-10-04,2021-06-30
229,59067448,James Gutshall,Seren,7277,17629,permanent,2018-12-03,2021-08-29
230,228766621,Eddie Tabron,Rav seren,5495,9423,permanent,2010-01-13,2012-10-09
231,63044747,Dolores Bowers,Rav samal,4532,7234,Regular,1990-09-08,1993-06-04
232,196880500,Michael Henry,Tat aluf,4163,2210,Regular,2005-07-17,2008-04-12
233,66013371,Harriette Castro,Tat aluf,2919,17242,Regular,2009-04-05,2011-12-31
234,241895131,Ruth Shaw,Seren,8001,9025,Regular,2018-07-20,2021-04-15
235,105282534,Margaret Neff,Turai,6951,14125,permanent,2012-12-21,2015-09-17
236,287721476,Roscoe Smith,Rav samal,3189,18124,permanent,2007-12-13,2010-09-08
237,157401727,Monica Wagner,Rav samal rishon,3266,6942,Regular,1990-08-23,1993-05-19
238,129515501,Gregory Barajas,Rav samal rishon,4442,13439,permanent,1991-04-22,1994-01-16
239,101116550,William Nelson,Rav samal,9067,4030,Regular,2017-03-08,2019-12-03
240,74432216,Sara Johnson,Turai,4234,4563,Regular,1998-11-23,2001-08-19
241,45094557,Willie Abbey,Samal,2957,13961,Regular,1994-01-05,1996-10-01
242,195360269,Christine Scott,Rav samal,5282,10314,Regular,2017-01-03,2019-09-30
243,258844708,David Blackburn,Rav samal rishon,1544,939,permanent,2005-08-22,2008-05-18
244,91459804,Manuel Elk,Rav seren,8803,6523,Regular,2018-10-29,2021-07-25
245,114138578,William Rivera,Rav turai,8661,5185,permanent,1994-03-15,1996-12-09
246,182870988,Cheryl George,Turai,3723,16785,Regular,2011-03-21,2013-12-15
247,270517631,Nicholas Allen,Rav samal rishon,5663,3091,permanent,2011-12-28,2014-09-23
248,160347922,Martha Hunter,Aluf mishne,4226,10726,Regular,2015-08-30,2018-05-26
249,41297191,Fredrick Shears,Rav turai,1594,2353,Regular,2012-11-19,2015-08-16
250,151100831,Christopher Dunn,Turai,3691,13151,permanent,2009-04-01,2011-12-27
251,109268099,Stella Goehring,Aluf mishne,5972,16109,Regular,2005-03-03,2007-11-28
252,254172983,Mary Smith,Seren,4719,10241,Regular,1996-03-18,1998-12-13
253,16999456,Aaron Rudolph,Rav samal,7106,1511,Regular,2005-10-15,2008-07-11
254,170923905,Antonio Samayoa,Rav seren,3124,3705,Regular,2012-04-13,2015-01-08
255,277047859,Anita Haag,Rav turai,3824,11074,Regular,1995-04-09,1998-01-03
256,162729870,Lorraine Dennis,Rav samal,4808,16193,permanent,2009-10-29,2012-07-25
257,30874490,Matthew Delacruz,Rav seren,6710,5502,permanent,2000-10-28,2003-07-25
258,59406219,Brenda Volz,Turai,8294,6722,permanent,1990-09-10,1993-06-06
259,92461181,Isaac Middlebrook,Samal,2606,18144,permanent,1999-02-02,2001-10-29
260,164481068,Gladys Thomas,Tat aluf,4157,4529,Regular,2016-09-15,2019-06-12
261,104066666,Amelia Strange,Rav turai,9200,9256,Regular,2004-08-20,2007-05-17
262,227138756,Amanda Reeves,Rav samal,7197,1103,Regular,2006-04-17,2009-01-11
263,2741744,Ahmad Stevenson,Turai,9563,18631,permanent,1997-09-10,2000-06-06
264,91135609,Jessie Goulet,Aluf mishne,7523,3178,permanent,2006-05-17,2009-02-10
265,185711551,Jamie Mark,Seren,8077,16562,permanent,2007-08-04,2010-04-30
266,135818612,Leon Powell,Rav samal rishon,7092,12457,permanent,2002-12-01,2005-08-27
267,130326988,Rosa Martin,Turai,2129,16613,permanent,1997-06-06,2000-03-02
268,141860179,Cherie Howard,Rav turai,8280,10202,Regular,1995-08-24,1998-05-20
